product_id,product_name,review_text
101,"Bluetooth Speaker","The sound quality is great but delivery was slow."
102,"Yoga Mat","Arrived early. Good quality material!"
103,"Coffee Maker","Broken on arrival and the customer service was unhelpful."
104,"Smartphone Case","Fits perfectly and the color is exactly like the photo."
105,"Running Shoes","The sole started peeling off after just two weeks of use. Poor quality."
106,"Desk Lamp","It's an okay lamp, nothing special but does the job."
107,"Electric Kettle","Boils water incredibly fast. Much better than my old one."
108,"Backpack","The zipper broke on the first day. Very disappointed with the durability."
109,"Power Bank","Charged my phone twice on a single charge. Highly recommend."
110,"Gaming Mouse","The response time is excellent, though the software is a bit buggy."
111,"Mechanical Keyboard","Keys are too loud and some of them stick. Not worth the price."
112,"Toaster","Toasts evenly every time. Simple and effective."
113,"Blender","Extremely loud and smells like burning plastic when used."
114,"Smart Watch","Battery life could be better, but the health tracking is accurate."
115,"Chef's Knife","Average knife. It's sharp but the handle feels cheap."
116,"Yoga Block","Firm and supportive. Really helps with my stretching routine."
117,"Portable Charger","Stopped working after a month. Won't hold a charge anymore."
118,"Air Purifier","Noticeable difference in air quality within just a few hours."
119,"Laptop Stand","It's a bit wobbly, but it gets the laptop off the desk."
